minimum_temperature,maximum_temperature,crop_evapotranspiration,potential_evapotranspiration,vapour_pressure,wet_day_frequency,average_temperature,rainfall,cloud_cover,district
20.759,28.494,4.1,5.46,24.179,3.189,24.602,3.829,33.098,cluster_2
22.075,29.068,4.14,5.25,26.369,3.961,25.556,108.226,46.483,cluster_2
21.897,28.026,3.81,4.8,27.031,6.002000000000002,24.922,113.923,55.294,cluster_2
21.576,26.997,3.5,4.25,26.39,6.704,24.272,127.562,68.44,cluster_2
20.614,26.059,3.44,4.21,25.622,4.93,23.313,64.646,68.969,cluster_2
20.801,26.304,3.51,4.35,25.274,2.969,23.542,18.289,63.101000000000006,cluster_2
20.741,26.56900000000001,3.55,4.5,25.308000000000003,2.948,23.642,24.982,58.87600000000001,cluster_2
20.461,26.563,3.4,4.36,25.546,7.904,23.504,230.86900000000003,58.87600000000001,cluster_2
19.754,26.075,3.13,4.2,24.695,10.017,22.877,248.819,53.265,cluster_2
18.952,25.916,3.07,4.32,22.145,2.717,22.391,97.615,42.597,cluster_2
18.897,26.825,3.4,4.82,21.641,3.137,22.849,54.536,33.263000000000005,cluster_2
19.384,27.433000000000003,3.76,5.2,22.17,0.917,23.408,8.24,31.329,cluster_2
20.78,28.517,4.11,5.46,23.549,3.6010000000000004,24.623,40.269,33.098,cluster_2
22.455,29.474,4.19,5.25,26.369,2.397,25.964,24.881,46.483,cluster_2
22.231,28.358,3.84,4.82,27.057,1.968,25.256,38.262,55.294,cluster_2
21.379,26.801,3.48,4.25,26.39,5.563,24.075,90.549,68.44,cluster_2
20.699,26.145,3.44,4.21,25.664,2.818,23.399,12.702,68.969,cluster_2
20.7,26.187,3.49,4.34,25.259,3.761,23.426,69.494,63.101000000000006,cluster_2
21.011,26.839,3.58,4.49,25.308000000000003,4.381,23.912,49.769,58.87600000000001,cluster_2
20.641,26.717,3.41,4.34,25.588,7.79,23.657,251.186,58.87600000000001,cluster_2
20.328,26.676,3.18,4.21,24.937,5.155,23.477,53.724,53.265,cluster_2
19.51,26.474,3.11,4.35,23.186,4.922,22.948,111.582,42.597,cluster_2
19.077,27.007,3.41,4.82,21.641,1.982,23.03,29.606,33.263000000000005,cluster_2
20.069000000000006,28.093000000000004,3.83,5.22,22.568,0.399,24.067,0.399,31.329,cluster_2
21.037,28.774,4.13,5.49,24.179,3.589,24.881,30.593000000000004,33.098,cluster_2
22.206,29.198,4.16,5.24,26.369,4.0310000000000015,25.687,59.144,46.483,cluster_2
22.494,28.63300000000001,3.87,4.83,28.082,4.226,25.573,77.796,55.294,cluster_2
21.397,26.82,3.48,4.27,25.96,8.176,24.095,177.30900000000003,68.44,cluster_2
20.689,26.134,3.45,4.21,25.664,6.572,23.387,229.05900000000003,68.969,cluster_2
21.102,26.59,3.53,4.36,25.259,4.7410000000000005,23.82800000000001,35.327,63.101000000000006,cluster_2
21.054,26.882,3.58,4.5,25.308000000000003,5.165,23.954,123.397,58.87600000000001,cluster_2
20.645,26.722,3.41,4.36,25.546,5.834,23.662,187.843,58.87600000000001,cluster_2
20.179,26.5,3.17,4.2,24.869,7.697999999999999,23.303,139.483,53.265,cluster_2
19.245,26.208,3.1,4.34,22.234,3.589,22.682,46.566,42.597,cluster_2
18.711,26.64,3.4,4.81,21.156,1.723,22.663,37.665,33.263000000000005,cluster_2
19.633,27.656,3.79,5.21,22.568,2.06,23.631,16.506,31.329,cluster_2
20.572,28.309,4.08,5.46,24.014,4.026,24.415,118.984,33.098,cluster_2
22.036,29.055,4.15,5.24,26.369,4.142,25.545,104.014,46.483,cluster_2
22.231,28.343000000000004,3.84,4.81,27.057,3.65,25.242,23.947,55.294,cluster_2
21.55,26.971,3.5,4.25,26.39,6.652,24.246,92.604,68.44,cluster_2
20.971,26.416,3.47,4.21,25.664,3.471,23.66800000000001,19.47,68.969,cluster_2
20.853,26.341,3.5,4.35,25.259,5.337999999999999,23.579,49.58,63.101000000000006,cluster_2
21.32,27.126,3.6,4.49,25.308000000000003,3.787,24.197,93.527,58.87600000000001,cluster_2
21.028,27.104,3.45,4.37,25.546,7.572,24.044,257.337,58.87600000000001,cluster_2
20.0,26.32,3.15,4.2,24.937,10.328,23.122,280.745,53.265,cluster_2
19.439,26.401,3.11,4.33,22.856,4.765,22.875,71.145,42.597,cluster_2
19.236,27.164,3.43,4.83,21.958,2.044,23.187,52.74800000000001,33.263000000000005,cluster_2
